concept_id,name
1008,Low-density lipoprotein cholesterol
1009,Triglycerides
1010,Lipid panel
1011,Creatine kinase
1012,Serum lactate
1013,Serum lipase
1014,Lactate dehydrogenase
1015,PCV
1016,Red cell distribution width
1017,Mean cell hemoglobin concentration
1018,Mean corpuscular hemoglobin
1019,Complete blood count
1020,Bands
1021,Lymphocytes
1022,Neutrophils
1023,Monocytes
1024,Eosinophils
1025,Basophils
1026,Differential
1027,CD8%
1028,CD3 count
1029,VDRL titre
1030,"HIV DNA polymerase chain reaction, qualitative"
1031,Treponema pallidum hemagglutination assay
1032,"Treponema pallidum hemagglutination assay, qualitative"
1033,Chlamydia trachomatis polymerase chain reaction
1034,"Chlamydia trachomatis polymerase chain reaction, qualitative"
1035,"Herpes simplex virus serology, quantitative"
1036,Neisseria gonorrhoeae polymerase chain reaction
1037,"Herpes simplex virus threshhold percentage, quantitative"
1038,"Neisseria gonorrhoeae polymerase chain reaction, qualitative"
1039,"Trichomonas vaginalis polymerase chain reaction, qualitative"
1040,"HIV rapid test, qualitative"
1041,"HIV enzyme immunoassay, quantitative"
1042,"Hiv enzyme immunoassay, qualitative"
1043,Trichomonas vaginalis polymerase chain reaction
1044,Herpes simplex virus polymerase chain reaction
1045,HIV western blot bands
1046,"Herpes simplex virus polymerase chain reaction, qualitative"
1047,"HIV western blot, qualitative"
1048,HIV disclosure to anyone
1049,Less than 30 minutes
1050,30 to 60 minutes
1051,One to two hours
1052,More than two hours
1053,Parity
1054,Civil status
1055,Married or living with partner
1056,Separated
1057,Never married
1058,Divorced
1059,Widowed
1060,Living with partner
1061,Method of HIV exposure
1062,Suspected past HIV exposure
1063,Blood transfusion
1064,No known risk factors
1065,Yes
1066,No
1067,Unknown
1068,Symptomatic
1069,"Review of systems, general"
1070,"Review of systems, heent"
1071,"Review of systems, cardiopulmonary"
1074,Months
1075,White
1076,Purulent
1077,Bloody
1078,"Review of systems, gastrointestinal"
1079,Continuous
1080,"Review of systems, genitourinary"
1081,"Review of systems, musculoskeletal"
1082,"Review of systems, central nervous system"
1083,Allergy to other medicine
1084,Antiretrovirals used for mtct prophylaxis
1085,Antiretroviral drugs
1086,Previous antiretroviral drugs used for transmission prophylaxis
1087,Previous antiretroviral drugs used for treatment
1088,Current antiretroviral drugs used for treatment
1089,Year of blood transfusion exposure
1090,Never
1091,Monthly or less
1092,2 to 4 times a month
1093,2 to 3 times a week
1094,4 to 5 times a week
1095,6 or more times a week
1096,Temporal answers
1097,Less than monthly
1098,Monthly
1099,Weekly
1100,Daily or almost daily
1101,Zero
1102,One to two
1103,Three to four
1104,Five to six
1105,Seven to nine
1106,Ten or more
1107,None
1108,Ethambutol and Isonizaid
1109,Patient reported current PCP prophylaxis
1110,Patient reported current tuberculosis prophylaxis
1111,Patient reported current tuberculosis treatment
1112,Patient reported current cryptococcus treatment
1113,Tuberculosis drug treatment start date
1114,Vital signs
1115,Normal
1116,Abnormal
1117,Abnormal sounds
1118,NOT done
1119,General exam findings
1120,Skin exam findings
1121,Lymph node exam findings
1122,Heent exam findings
1123,Chest exam findings
1124,Cardiac exam findings
1125,Abdominal exam findings
1126,Urogenital exam findings
1127,Extremity exam findings
1128,Musculoskeletal exam findings
1129,Neurologic exam findings
1130,Psychiatric exam findings
1131,Rifampicin Isoniazid Pyrazinamide Ethambutol
1132,Serum sodium
1133,Serum potassium
1134,Serum Chloride
1135,Serum carbon dioxide
1137,Miliary changes
1138,Indeterminate
1139,Pilot
1140,Mtrh staff
1141,National aids sexually transmitted disease control program
1142,Mtct staff
1143,Research
1144,Awaiting assignment
1145,History of pneumonia
1146,Conception since last visit
1147,Antiretroviral use during pregnancy
1148,Total maternal to child transmission prophylaxis
1149,On antiretroviral therapy
1150,Breastfed predominately
1151,Infant feeding method
1152,Weaned
1153,Child of hiv patient in clinic
1154,New complaints
1155,Primary regimen
1156,Overall drug adherence in last month
1157,Pneumocystic carinii pneumonia prophylactic drugs
1158,Tuberculosis prophylactic drugs
1159,Tuberculosis treatment drugs
1160,Few
1161,Half
1162,Most
1163,All
1164,Antiretroviral adherence in past week
1165,Tuberculosis prophylaxis adherence in past week
1166,Mucocutaneous exam findings
1167,Disclosure counseling
