drug_id,name,units
289,Dexamethasone (0.5mg tablet),tab(s)
290,Diclofenac Sodium (25mg tablet),tab(s)
291,Digoxin (0.250mg tablet),tab(s)
292,Doxycycline (100mg tablet),tab(s)
293,Flucloxacillin (250mg tablet),tab(s)
294,Hydrocortisone (20mg tablet),tab(s)
295,Indomethacin (25mg tablet),tab(s)
296,Mebendazole (500mg tablet),tab(s)
297,Methotrexate (2.5mg tablet),tab(s)
298,Nitrofurantoin (50mg tablet),tab(s)
299,Procyclidine (5mg tablet),tab(s)
300,Propantheline bromide(15mg),tab(s)
301,Sodium Valproate (200mg tablet),tab(s)
302,SP (525mg tablet),tab(s)
303,Tramadol (50mg),tab(s)
304,Amoxicillin (125mg/5ml syrup),ml
305,Chloramphenicol (125mg/5ml syrup),ml
306,Chlorpheniramine (2mg/5ml Suspension),ml
307,Flucloxacillin (125mg/5ml suspension),ml
308,Fluconazole (10mg/ml suspension),ml
309,Metronidazole (200mg/5ml suspension),ml
310,Promethazine (25mg/5ml syrup),ml
311,Aminophylline (25mg/ml),ml
312,Benzylpenicillin (2.4MU),mu
313,Cyclizine (50mg/ml Injection),
314,Cimetidine (200mg/ml Injection),
315,Dexamethasone (5mg/ml Injection),ml
316,Diclofenac injection (75mg),mg (injection)
317,Digoxin (250 mcg/ml),ml
318,"Flucloxacillin (250mg, vial, PFR)",tab(s)
319,Fluconazole (2mg/ml injection),ml
320,Fluphenazine (25mg/ml),ml
321,Frusemide (10mg/ml injection),ml
322,Gentamicin (240mg),tab(s)
323,Heparin (5000u/ml),ml
324,Hyoscine (20mg/ml Injection),
325,Hydralazine HCl (1ml Injection),ml
326,Hydrocortisone iv (50mg/ml injection),ml
327,Insulin soluble (100 IU/ml Injection),
328,Insulin lente (100 IU/ml),
329,Ketamine hydrochloride (50mg/ml injection),ml
330,Lignocaine hydrochloride(1%),ml
331,Lignocaine hydrochloride (2%),ml
332,"Lignocaine + glucose (7.5%,heavy)",ml
333,Magnesium sulphate (50%),ml
334,Methylprednisolone (40mg Injection),tab(s)
335,Metronidazole (5mg/ml Injection),ml
336,Morphine sulphate (15mg/ml Injection),ml
337,Neostigmine (2.5mg injection),tab(s)
338,Oxytocin (10IU/ml),IU/ML
339,Paraldehyde (10ml),ml
340,Pethidine hydrochloride (50mg/1ml),ml
341,Phytomenadione (10mg/ml Vit K),ml
342,Potassium chloride (20%),ml
343,Promethazine HCl (25mg/ml),ml
344,Salbutamol (resp solution 5mg/ml),ml
345,Salbutamol,ml
346,Suxamethonium chloride (50mg/ml),ml
347,"Thiopentone sodium (500mg, PFR)",tab(s)
348,Water for injections,ml
349,Rabies vaccine,
350,Tetanus antitoxin (1500 IU),IU
351,Vecuronium (4mg/ml Injecion),mg/ml
352,Ferrous Syrup (60mg/5ml),mg/ml
353,Ampicillin (500 mg injection PRF),tab(s)
354,Benzylpenicillin (5mu),mu
355,Bupivacaine spinal (0.5%),ml
356,"Cefotaxime (500mg, PFR)",tab(s)
357,"Chloramphenicol succinate (1g, PFR)",g
358,Chlorpromazine HCl (25mg/ml),ml
359,Ergometrine+Oxytocin,ml
360,Antacid Susp (Mag/Alumin),
361,Magnesium trisilicate compound,
362,Frusemide (40mg tablet),tab(s)
363,Vitamin B complex (strong tablets),tab(s)
364,Vitamin (tablets),tab(s)
365,Cephalexin 250mg capsule,tab(s)
366,Isosorbide dinitrate (10mg tablet),tab(s)
367,Metronidazole 200mg tablet,tab(s)
368,Artesunate + Amodiaquine 50+153mg,tab(s)
369,Amphotericin B (50mg injection),tab(s)
370,Ampicillin (250mg injection PFR),tab(s)
371,"Benzylpenicillin (1g,PFR)",g
372,Gentamicin (20mg/ml Injection),ml
373,Haloperidol 5mg/ml injection,ml
374,Melarsoprol (Mel B) 3.6% (6ml),ml
375,Metoclopramide hydrochloride (5mg/ml),mg/ml
376,Phytomenadione (2mg/ml Vitamin K),mg/ml
377,Salbutamol sulphate 1mg/ml,ml
378,Suramin sodium (1g injection),g
379,Tetanus antitoxin (20000 IU),IU
380,Anti-snakebite serum,unit
381,Acyclovir eye ointment 3%,application
382,Alcohol 96%,application
383,Atropine sulphate eye ointment 1%,application
384,Benzoic acid 6% + salicylic acid 3% ointment,application
385,Bismuth subgallate compound suppositories,item
386,Chloramphenicol 5% ear drops,drop(s)
